ds,y
2015-03-31,1.57
2015-06-30,1.64
2015-09-30,1.74
2015-12-31,1.82
2016-03-31,1.96
2016-06-30,2.11
2016-09-30,2.29
2016-12-31,2.48
2017-03-31,2.64
2017-06-30,2.79
2017-09-30,2.98
2017-12-31,3.29
2018-03-31,3.7
2018-06-30,3.91
2018-09-30,4.0
2018-12-31,4.19
2019-03-31,4.52
2019-06-30,4.92
2019-09-30,5.24
2019-12-31,5.47
2020-03-31,5.77
2020-06-30,6.15
2020-09-30,6.44
2020-12-31,6.64
2021-03-31,7.16
2021-06-30,7.34
2021-09-30,7.48
2021-12-31,7.71
2022-03-31,7.87
2022-06-30,7.97
2022-09-30,7.93
2022-12-31,7.85
2023-03-31,8.16
2023-06-30,8.19
2023-09-30,8.54
2023-12-31,8.83
2024-03-31,9.38
2024-06-30,9.56
2024-09-30,9.82
2024-12-31,10.25
2025-03-31,10.54
2025-06-30,11.08
2025-09-30,11.51
2025-12-31,12.05
